Trajectories
100
		JuanDR:RASI			JuanDR:SACR			JuanDR:LASI			JuanDR:RHEE			JuanDR:RTOE			JuanDR:RANK			JuanDR:RMED			JuanDR:LHEE			JuanDR:LTOE			JuanDR:LANK			JuanDR:LMED			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
474	0	-2243.739014	-632.108765	862.335938	-2444.800781	-494.965729	858.901794	-2242.237061	-374.373505	865.702454	-2359.078857	-536.327148	16.677368	-2187.314941	-554.616089	24.419287	-2311.019043	-575.842102	39.997112	-2281.853760	-493.577606	64.327072	-2526.456055	-429.687012	146.615433	-2395.655273	-390.624939	43.388535	-2473.186279	-378.515717	132.452103	-2428.482178	-453.829163	132.764313
475	0	-2235.950928	-633.272583	862.329102	-2436.246094	-494.707550	859.582764	-2233.066162	-375.578644	867.466919	-2359.268311	-536.218689	16.754040	-2187.367432	-554.568970	24.403856	-2311.790283	-575.768433	40.572388	-2281.966553	-493.279999	64.253647	-2498.646484	-429.650757	140.819778	-2364.384521	-391.689514	42.280739	-2444.844238	-378.785614	128.498383	-2400.510254	-454.341003	130.697495
476	0	-2228.205811	-634.353088	862.229309	-2427.668457	-494.367157	860.057434	-2223.903564	-376.748444	869.030334	-2359.443359	-536.101196	16.818922	-2187.438721	-554.555359	24.395987	-2312.566650	-575.686584	41.146416	-2282.117676	-493.025543	64.220963	-2470.243408	-429.948944	134.665070	-2332.654785	-392.353302	41.180820	-2416.093750	-379.195618	124.327972	-2372.012451	-454.963348	128.334595
477	0	-2220.468018	-635.358337	862.029907	-2419.051758	-493.947723	860.320557	-2214.730225	-377.878235	870.372070	-2359.590088	-535.974243	16.862333	-2187.535889	-554.583984	24.396904	-2313.312256	-575.588684	41.695038	-2282.295654	-492.820099	64.223549	-2441.309570	-430.555878	128.212814	-2300.493164	-392.667755	40.159504	-2386.970947	-379.746765	120.000481	-2343.054199	-455.694702	125.723091
478	0	-2212.698242	-636.297607	861.722656	-2410.378662	-493.452972	860.370117	-2205.527100	-378.962738	871.473450	-2359.695801	-535.839111	16.876984	-2187.661377	-554.658997	24.405628	-2314.001221	-575.469727	42.202538	-2282.479248	-492.664307	64.249809	-2411.904297	-431.393982	121.514824	-2267.933105	-392.756744	39.275402	-2357.489258	-380.422546	115.557999	-2313.715576	-456.531006	122.915253
479	0	-2204.857666	-637.178589	861.297852	-2401.634277	-492.886841	860.206482	-2196.273926	-379.996246	872.318542	-2359.755127	-535.699585	16.860853	-2187.812500	-554.778931	24.418865	-2314.615967	-575.326782	42.658897	-2282.638916	-492.553070	64.282639	-2382.082275	-432.349243	114.613205	-2235.011230	-392.797760	38.566315	-2327.641602	-381.192566	111.025887	-2284.083740	-457.464996	119.965096
480	0	-2196.914551	-638.004700	860.745056	-2392.801758	-492.253510	859.833313	-2186.952637	-380.973206	872.894653	-2359.766602	-535.561279	16.818853	-2187.980469	-554.935791	24.431366	-2315.140137	-575.158691	43.055717	-2282.741943	-492.476288	64.301765	-2351.886719	-433.289276	107.542336	-2201.771240	-392.993225	38.047424	-2297.403564	-382.016449	106.417816	-2254.253174	-458.483521	116.926071
481	0	-2188.845459	-638.773499	860.055054	-2383.867432	-491.556946	859.256836	-2177.545410	-381.888519	873.191833	-2359.736816	-535.428833	16.762617	-2188.152100	-555.116821	24.436758	-2315.561768	-574.966309	43.386925	-2282.758789	-492.419647	64.287796	-2321.352783	-434.082306	100.333221	-2168.264893	-393.533997	37.719566	-2266.750977	-382.848816	101.745491	-2224.315674	-459.565521	113.849167
482	0	-2180.634766	-639.478760	859.220886	-2374.817139	-490.800842	858.486206	-2168.035400	-382.737396	873.204041	-2359.675049	-535.302246	16.708788	-2188.312500	-555.307190	24.428936	-2315.874023	-574.753601	43.650612	-2282.670410	-492.367859	64.228424	-2290.504395	-434.612610	93.019043	-2134.555664	-394.564026	37.582890	-2235.673828	-383.643738	97.029739	-2194.359375	-460.680115	110.781815
483	0	-2172.272949	-640.111816	858.239868	-2365.638184	-489.988525	857.532776	-2158.408691	-383.516113	872.928955	-2359.592529	-535.174805	16.677303	-2188.450928	-555.494019	24.403896	-2316.076904	-574.527283	43.849430	-2282.475342	-492.307068	64.123413	-2259.367188	-434.793457	85.641258	-2100.723877	-396.155579	37.647282	-2204.191650	-384.358398	92.307251	-2164.461914	-461.786560	107.767792
