Trajectories
100
		JuanDR:RASI			JuanDR:SACR			JuanDR:LASI			JuanDR:RHEE			JuanDR:RTOE			JuanDR:RANK			JuanDR:RMED			JuanDR:LHEE			JuanDR:LTOE			JuanDR:LANK			JuanDR:LMED			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
16	0	-120.488525	-126.965683	866.188721	-316.927429	11.501731	862.420654	-118.081055	131.685715	866.806152	-276.661316	-110.674454	21.717648	-106.136963	-147.405106	27.578043	-232.769226	-151.847321	48.557804	-193.004120	-71.592850	66.079926	-299.113464	89.068520	20.387253	-128.053970	139.819351	29.755209	-250.870193	133.907883	50.132988	-214.845398	52.829338	56.548744
17	0	-120.478752	-126.959663	866.190552	-316.922821	11.505007	862.420593	-118.078514	131.691055	866.808533	-276.661560	-110.675316	21.718689	-106.136276	-147.404678	27.577723	-232.768707	-151.847610	48.558636	-193.003189	-71.594360	66.078575	-299.114716	89.068161	20.389797	-128.053833	139.818542	29.754520	-250.869720	133.907211	50.132671	-214.845291	52.829105	56.549286
18	0	-120.469391	-126.953629	866.192261	-316.918488	11.508258	862.420532	-118.076271	131.696335	866.810852	-276.661865	-110.676170	21.719704	-106.135590	-147.404266	27.577412	-232.768250	-151.847931	48.559456	-193.002319	-71.595856	66.077232	-299.115936	89.067818	20.392288	-128.053680	139.817764	29.753849	-250.869308	133.906540	50.132355	-214.845184	52.828880	56.549824
19	0	-120.460434	-126.947594	866.194092	-316.914459	11.511489	862.420410	-118.074310	131.701553	866.813171	-276.662201	-110.677032	21.720690	-106.134933	-147.403870	27.577110	-232.767792	-151.848221	48.560265	-193.001465	-71.597336	66.075912	-299.117157	89.067482	20.394726	-128.053574	139.816986	29.753193	-250.868912	133.905899	50.132038	-214.845108	52.828674	56.550365
20	0	-120.451881	-126.941559	866.195801	-316.910736	11.514695	862.420288	-118.072655	131.706726	866.815491	-276.662537	-110.677887	21.721651	-106.134285	-147.403442	27.576815	-232.767334	-151.848526	48.561062	-193.000610	-71.598824	66.074600	-299.118378	89.067154	20.397108	-128.053467	139.816193	29.752554	-250.868622	133.905273	50.131729	-214.845078	52.828472	56.550900
21	0	-120.443741	-126.935493	866.197510	-316.907349	11.517880	862.420105	-118.071297	131.711868	866.817871	-276.662842	-110.678764	21.722588	-106.133652	-147.403046	27.576530	-232.766876	-151.848816	48.561844	-192.999817	-71.600288	66.073311	-299.119598	89.066833	20.399435	-128.053391	139.815430	29.751932	-250.868347	133.904663	50.131424	-214.845062	52.828278	56.551430
22	0	-120.435997	-126.929436	866.199219	-316.904236	11.521042	862.419800	-118.070221	131.716965	866.820190	-276.663147	-110.679634	21.723495	-106.133034	-147.402679	27.576254	-232.766479	-151.849136	48.562611	-192.999039	-71.601753	66.072029	-299.120819	89.066528	20.401707	-128.053329	139.814682	29.751326	-250.868164	133.904068	50.131126	-214.845093	52.828098	56.551960
23	0	-120.428665	-126.923370	866.200928	-316.901459	11.524180	862.419556	-118.069443	131.722015	866.822571	-276.663483	-110.680496	21.724379	-106.132423	-147.402267	27.575987	-232.766068	-151.849426	48.563370	-192.998276	-71.603218	66.070755	-299.122009	89.066223	20.403927	-128.053268	139.813934	29.750736	-250.868027	133.903488	50.130836	-214.845154	52.827927	56.552490
24	0	-120.421738	-126.917290	866.202515	-316.898956	11.527295	862.419189	-118.068962	131.727020	866.824951	-276.663849	-110.681374	21.725233	-106.131844	-147.401901	27.575727	-232.765656	-151.849731	48.564114	-192.997513	-71.604660	66.069504	-299.123230	89.065933	20.406096	-128.053207	139.813187	29.750162	-250.867935	133.902939	50.130547	-214.845245	52.827766	56.553009
25	0	-120.415215	-126.911194	866.204163	-316.896759	11.530389	862.418823	-118.068779	131.731995	866.827332	-276.664154	-110.682259	21.726067	-106.131264	-147.401505	27.575476	-232.765289	-151.850052	48.564838	-192.996796	-71.606102	66.068260	-299.124390	89.065651	20.408205	-128.053177	139.812439	29.749605	-250.867935	133.902390	50.130260	-214.845352	52.827614	56.553535
